system	micro-p	micro-p-left	micro-p-right	micro-r	micro-r-left	micro-r-right	micro-f1	micro-f1-left	micro-f1-right	macro-p	macro-p-left	macro-p-right	macro-r	macro-r-left	macro-r-right	macro-f1	macro-f1-left	macro-f1-right
SF_UGENT_IBCN3	0.326469685225	0.278919412325	0.37781349151	0.267386093561	0.225046590014	0.313773195796	0.293380113299	0.255737338789	0.332330939625	0.335214527336	0.289104372508	0.381361145279	0.32773210193	0.28267911598	0.371926154711	0.301465502447	0.260732275838	0.342162343171
SF_CIS1	0.476449355043	0.412239204695	0.542738095238	0.135532225949	0.103491080189	0.172323759791	0.210512181285	0.167819360145	0.256850462018	0.239095312742	0.196854814481	0.282725131729	0.21161938963	0.171287930368	0.252785821562	0.201943716165	0.164273637115	0.239825357564
KB_hltcoe3	0.475263557497	0.409490144537	0.541097171455	0.245359009045	0.203351888482	0.288650579345	0.32314824826	0.27604810079	0.370091819019	0.27754741644	0.232966368535	0.322916450358	0.257592274285	0.215696671177	0.301641983752	0.249144996722	0.209172510086	0.290623836984
SF_CIS2	0.301972330634	0.260062660132	0.348316959328	0.270349477003	0.219233675953	0.325255102041	0.284337893138	0.24763799658	0.32241131815	0.309685354656	0.267357483389	0.354046989773	0.356906970738	0.310737221574	0.404740497693	0.299139173088	0.259079925572	0.340278486148
SF_UWashington1	0.470015507857	0.39259086189	0.552847919656	0.140877940124	0.103447327491	0.17923517182	0.216093988917	0.166666666667	0.264122550924	0.177229896253	0.139244646673	0.217515609327	0.15179521662	0.116850548449	0.188498860766	0.151825625841	0.118259330914	0.18698860012
KB_NYU4	0.4274786999	0.358616475876	0.495913908209	0.200305006715	0.161179890433	0.240764524947	0.27186543591	0.230602973708	0.311565454391	0.24651814474	0.2059988149	0.289140202298	0.22680856659	0.187354750434	0.267888037578	0.210978744871	0.175108827874	0.248614757799
KB_BBN3	0.449923879488	0.400918072764	0.503175883257	0.375290784043	0.329999158249	0.419209278184	0.408676596864	0.370070557005	0.445751633987	0.374160453045	0.328347259104	0.421267879259	0.369283731666	0.322556854452	0.414044450181	0.340013692226	0.297413359819	0.382013512364
KB_UMass_IESL4	0.272288453782	0.19887935428	0.374119544592	0.177674852553	0.14746908433	0.210724170515	0.213230188821	0.180898040574	0.248486544551	0.212444134088	0.172390998551	0.252108468025	0.215966358311	0.175791579148	0.256397194423	0.192035439326	0.156551065115	0.228710721401
SF_MSIIPL_THU4	0.0576764356557	0.0259042286478	0.093023255814	0.0112478047625	0.0047619047619	0.0190026010856	0.0187643423567	0.00803999919275	0.0310502283105	0.0190726603575	0.00709779179811	0.0336487907466	0.0154264233138	0.00497220970407	0.0284212107556	0.0153292188674	0.00537028691603	0.0275961394021
SF_UMass_IESL1	0.316982678493	0.263402825952	0.373162108934	0.21807217369	0.184465767896	0.252941875087	0.257876014433	0.221468618424	0.293202651627	0.236470094959	0.19795837059	0.277978403984	0.248681500367	0.206997119548	0.292224231997	0.217569677102	0.18226225253	0.255268074502
SF_BUPT_PRIS1	0.27705899441	0.241982409847	0.314330933466	0.215458252553	0.177559953004	0.256693475714	0.241918165881	0.209366481898	0.275817271244	0.234488773722	0.198057831583	0.27203380413	0.287069089217	0.243188762392	0.332182733892	0.230394889841	0.194862151062	0.266873914353
KB_ICTCAS_OKN1	0.413633056241	0.1875	0.677448156682	0.012445511868	0.004744930345	0.0223695093524	0.0241142219025	0.00931207567073	0.0429594272076	0.0284113564669	0.01261829653	0.0473186119874	0.0148104611687	0.00546792849632	0.0267688147814	0.018479530319	0.00735879525312	0.032172900706
SF_StaRAI20155	0.0837141699119	0.0388309284986	0.134831460674	0.0158594559168	0.00684119921017	0.0276895761962	0.0265336823643	0.0116618075802	0.045337401918	0.0241143217666	0.00991437584498	0.040469806219	0.0313939537329	0.0136698212408	0.0515247108307	0.0252228140419	0.0106199951468	0.0417986127962
SF_CIS4	0.297128358146	0.256849302371	0.340429618329	0.272055486908	0.221247563353	0.324442918833	0.283113203641	0.246992511637	0.320369629634	0.311473997833	0.269868811452	0.354474269877	0.359930701766	0.3136627488	0.407488095149	0.301024269122	0.261946970416	0.341873579435
SF_BUPT_PRIS4	0.153670114732	0.125754772336	0.18259422763	0.107229710805	0.0817605778623	0.135520424099	0.126029954141	0.100691364179	0.15323888155	0.112229645486	0.0856493165089	0.140285789395	0.15128472391	0.116937978219	0.188244217442	0.11326863346	0.0873435646073	0.140009066974
