system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto
SF_BUPT_PRIS5	0.1553398058252427	0.10762331838565023	0.1271523178807947	0.11294126483400929	0.1543025244576772	0.11445179060335454	0.15372168284789645	0.10650224215246637	0.12582781456953643	0.11215262130088625	0.15114795032518516	0.1131899609503577	0.0016181229773462784	0.0011494252873563218	0.0013440860215053765	0.0006309148264984224	0.003154574132492111	0.0010515247108307051
SF_UMass_IESL1	0.31596091205211724	0.21748878923766815	0.25763612217795484	0.23632083803497797	0.2483686743952538	0.2173768202500219	0.3127035830618892	0.21524663677130046	0.25498007968127495	0.23523926976098053	0.2466862348579246	0.21606241436148357	0.048859934853420196	0.034324942791762014	0.040322580645161296	0.03459600465306534	0.038308631888387734	0.033454009911176544
KB_BBN2	0.5222602739726028	0.3419282511210762	0.41327913279132794	0.38810457856199176	0.3575141656369499	0.34266650656347997	0.5222602739726028	0.3419282511210762	0.41327913279132794	0.38810457856199176	0.3575141656369499	0.34266650656347997	0.13184931506849315	0.09112426035502959	0.10776766969909027	0.1117318669763466	0.107329434861173	0.1037147007416634
KB_hltcoe5	0.47326732673267324	0.2679372197309417	0.3421617752326413	0.27094758187953655	0.2589718390422311	0.24795152605126403	0.4693069306930693	0.265695067264574	0.33929849677881174	0.2699661588160947	0.2580705321472333	0.24703144192928703	0.12277227722772277	0.07029478458049887	0.08940158615717375	0.07416491122415803	0.07289907777062056	0.0683904656635961
SF_UMass_IESL2	0.18859649122807018	0.24103139013452915	0.21161417322834644	0.22058782499942278	0.28103758843826354	0.21488449412007982	0.17982456140350878	0.23007856341189675	0.2018709995076317	0.20780608495461872	0.26309002034688356	0.20175409139977166	0.031578947368421054	0.041189931350114416	0.03574975173783516	0.03644241242277792	0.049764184747726106	0.03624335268657035
SF_CIS5	0.19102990033222592	0.257847533632287	0.2194656488549618	0.2690560715821454	0.32945598701524564	0.26256608727696384	0.16362126245847175	0.22259887005649717	0.18860698898994735	0.2544586449868265	0.3068710001967076	0.248471045899591	0.02408637873754153	0.03431952662721893	0.028306490971205467	0.034985921894439234	0.05109909368584444	0.036001133461701286
KB_UMass_IESL3	0.2542087542087542	0.16928251121076232	0.2032301480484522	0.21610817622252956	0.21333023394514394	0.19113423018634693	0.2542087542087542	0.16928251121076232	0.2032301480484522	0.21610817622252956	0.21333023394514394	0.19113423018634693	0.03367003367003367	0.02288329519450801	0.027247956403269755	0.022294855950218743	0.022374943668319058	0.018938762902921864
SF_StaRAI20152	0.07425742574257425	0.016816143497757848	0.027422303473491772	0.02188923939712583	0.018138801261829644	0.01626365222579733	0.04950495049504951	0.011210762331838564	0.018281535648994516	0.014475990185769361	0.013801261829652998	0.011617299629917924	0.0	0.0	0.0	0.0	0.0	0.0
LDC	0.8703170028818443	0.33856502242152464	0.4874899112187247	0.8714511041009463	0.6357565406474736	0.6829643836471582	0.12094395280235988	0.04898446833930705	0.06972789115646259	0.12405609492988139	0.09217373780480576	0.0993863741436557	0.12094395280235988	0.04898446833930705	0.06972789115646259	0.12405609492988139	0.09217373780480576	0.0993863741436557
KB_BBN3	0.44906166219839144	0.3755605381165919	0.409035409035409	0.37437383716866224	0.36907906172538774	0.3400253010786393	0.44235924932975873	0.37037037037037035	0.40317654245571166	0.36990396602499565	0.3646530263270015	0.335803153109204	0.10857908847184987	0.09585798816568047	0.10182275298554368	0.10833684977924815	0.11016335173294474	0.1035270147952351
