system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto	micro-nd-p	micro-nd-r	micro-nd-f1	macro-nd-p	macro-nd-r	macro-nd-f1	micro-nd-p-loo	micro-nd-r-loo	micro-nd-f1-loo	macro-nd-p-loo	macro-nd-r-loo	macro-nd-f1-loo	micro-nd-p-lto	micro-nd-r-lto	micro-nd-f1-lto	macro-nd-p-lto	macro-nd-r-lto	macro-nd-f1-lto
SF_MSIIPL_THU2	0.25796178343949044	0.09080717488789238	0.13432835820895522	0.10894433291909625	0.12119058546039427	0.09907015446271834	0.25477707006369427	0.08968609865470852	0.13266998341625205	0.10578975878660417	0.12013906074956363	0.0974928673964722	0.1337579617834395	0.0472972972972973	0.06988352745424294	0.06098979884468846	0.06849643521567814	0.05791541579061968	0.2696245733788396	0.08856502242152467	0.13333333333333336	0.10743737510299017	0.12007720635480885	0.09900733529030939	0.2696245733788396	0.08856502242152467	0.13333333333333336	0.10743737510299017	0.12007720635480885	0.09900733529030939	0.22866894197952217	0.07545045045045046	0.11346316680779002	0.09200249452615378	0.10373870783965426	0.08516295471838436
SF_UWashington4	0.4056603773584906	0.04820627802690583	0.08617234468937876	0.062486855941114625	0.05509249724317453	0.056165621970038396	0.27358490566037735	0.032511210762331835	0.05811623246492986	0.038827549947423774	0.03531047620860203	0.03516080134376664	0.09433962264150944	0.011299435028248588	0.020181634712411703	0.012828601472134594	0.012765625541650776	0.012671100368261249	0.41509433962264153	0.04932735426008968	0.08817635270541083	0.06261829652996855	0.05515435163792933	0.05624974394690487	0.41509433962264153	0.04932735426008968	0.08817635270541083	0.06261829652996855	0.05515435163792933	0.05624974394690487	0.39622641509433965	0.04745762711864407	0.08476286579212916	0.06235541535226082	0.05503064284841977	0.056081499993171906
KB_NYU2	0.5394321766561514	0.19170403587443946	0.2828784119106699	0.2427857893946221	0.21331270440701458	0.20815808828378096	0.5394321766561514	0.19170403587443946	0.2828784119106699	0.2427857893946221	0.21331270440701458	0.20815808828378096	0.06309148264984227	0.022650056625141562	0.03333333333333333	0.037210204796955616	0.03200390566321166	0.030738276795059135	0.5392156862745098	0.18497757847533633	0.2754590984974958	0.23605603124530578	0.20589569975026217	0.2027415310672611	0.5392156862745098	0.18497757847533633	0.2754590984974958	0.23605603124530578	0.20589569975026217	0.2027415310672611	0.4738562091503268	0.16421291053227632	0.2439024390243902	0.21910770617395217	0.19226261652866522	0.1895268347832808
SF_StaRAI20151	0.09226190476190477	0.034753363228699555	0.05048859934853421	0.04338007949723387	0.06348580441640378	0.04313595475903403	0.08333333333333333	0.03139013452914798	0.04560260586319219	0.03391635709975749	0.05402208201892745	0.0336722323615577	0.002976190476190476	0.0011273957158962795	0.0016353229762878167	0.00035050823694356793	0.0031545741324921126	0.0006309148264984224	0.2052980132450331	0.034753363228699555	0.05944391179290509	0.053301150304304885	0.06348580441640378	0.05074137219247628	0.2052980132450331	0.034753363228699555	0.05944391179290509	0.053301150304304885	0.06348580441640378	0.05074137219247628	0.17880794701986755	0.030439684329199548	0.05202312138728324	0.04725488321702836	0.06214511041009459	0.04770628950439678
SF_CMUML1	0.5882352941176471	0.011210762331838564	0.022002200220022	0.02523659305993691	0.012942630450516883	0.015820054463587585	0.5882352941176471	0.011210762331838564	0.022002200220022	0.02523659305993691	0.012942630450516883	0.015820054463587585	0.17647058823529413	0.003367003367003367	0.0066079295154185015	0.0063091482649842235	0.0019528316058284513	0.0029793200140203276	0.6428571428571429	0.010089686098654708	0.01986754966887417	0.023659305993690868	0.011891105739686185	0.01428321065545041	0.6428571428571429	0.010089686098654708	0.01986754966887417	0.023659305993690868	0.011891105739686185	0.01428321065545041	0.5714285714285714	0.008978675645342313	0.017679558011049725	0.020504731861198753	0.010313818673440125	0.012180161233788999
SF_UGENT_IBCN3	0.3251366120218579	0.26681614349775784	0.29310344827586204	0.335278808670806	0.3282462709798854	0.30163558817683206	0.3251366120218579	0.26681614349775784	0.29310344827586204	0.335278808670806	0.3282462709798854	0.30163558817683206	0.1407103825136612	0.11784897025171624	0.1282689912826899	0.16892495793541784	0.16833753767811654	0.15216275515212924	0.3304964539007092	0.26121076233183854	0.2917971195992486	0.34474828840427363	0.3291221205423869	0.30810309681518566	0.3304964539007092	0.26121076233183854	0.2917971195992486	0.34474828840427363	0.3291221205423869	0.30810309681518566	0.3078014184397163	0.24715261958997722	0.27416298168035375	0.3239022722071035	0.31584242814844077	0.2924289142170876
SF_Stanford3	0.4005037783375315	0.35650224215246634	0.37722419928825623	0.372009045563728	0.38276583628152605	0.35442576803222275	0.33123425692695213	0.2948430493273543	0.3119810201660736	0.29368181395715537	0.30785318482686913	0.27984721881008234	0.22040302267002518	0.2	0.2097064110245656	0.1966156051412568	0.20624452625952994	0.1881248332476462	0.40229885057471265	0.3531390134529148	0.3761194029850746	0.37753500272032153	0.3809387333108901	0.35626049978961655	0.3933588761174968	0.3452914798206278	0.36776119402985075	0.3732670494822441	0.3767326344675673	0.35202435738312715	0.37547892720306514	0.3356164383561644	0.3544303797468354	0.3640166704884306	0.37238365394538797	0.34536530178342817
KB_NYU3	0.5699300699300699	0.1827354260089686	0.27674023769100164	0.23598968504331286	0.20137653332257827	0.2019402686175138	0.5629370629370629	0.1804932735426009	0.27334465195246177	0.22968053677832864	0.19506738505759413	0.19563112035252964	0.05944055944055944	0.01925254813137033	0.0290846877673225	0.03199639477242003	0.0249061138651044	0.024515162370051954	0.5667870036101083	0.17600896860986548	0.2686056458511548	0.22945270642431537	0.19395952866582614	0.19665207935270562	0.5667870036101083	0.17600896860986548	0.2686056458511548	0.22945270642431537	0.19395952866582614	0.19665207935270562	0.49458483754512633	0.1551528878822197	0.23620689655172414	0.2123917179910871	0.18026271667387594	0.18337091672348435
SF_MSIIPL_THU1	0.2564102564102564	0.10089686098654709	0.14481094127111827	0.11195207650023015	0.12816385459537674	0.10354846438730764	0.23931623931623933	0.09427609427609428	0.1352657004830918	0.10764583244635206	0.12487092194830172	0.10058809076447338	0.13105413105413105	0.0518018018018018	0.07425343018563357	0.06535362639463593	0.07322829641441629	0.06235435224848359	0.2674772036474164	0.09865470852017937	0.14414414414414412	0.110109081244728	0.1270504754897914	0.10332092107077215	0.2613981762917933	0.09652076318742986	0.14098360655737704	0.10940806477084083	0.12533482990896241	0.10237596981036351	0.22492401215805471	0.08333333333333333	0.12161051766639276	0.09660199597108116	0.10899633139380771	0.08984599512697694
SF_CIS2	0.3007518796992481	0.26905829596412556	0.28402366863905326	0.3096343034680857	0.3567724506445928	0.29910793011137393	0.3007518796992481	0.26905829596412556	0.28402366863905326	0.3096343034680857	0.3567724506445928	0.29910793011137393	0.040100250626566414	0.0378698224852071	0.038953134510042606	0.04205100892798054	0.054967202443543126	0.044059517533260345	0.3096179183135705	0.26345291479820626	0.2846759539672925	0.32679191802317636	0.3525319268851416	0.3085568630457696	0.3096179183135705	0.26345291479820626	0.2846759539672925	0.32679191802317636	0.3525319268851416	0.3085568630457696	0.2608695652173913	0.23349056603773585	0.2464219041692595	0.2884436096267193	0.3268757251842922	0.2778579562806877
