year, team, p, r, f1, score
2009, hltcoe1, , , , 0.641
2009, hltcoe2, , , , 0.586
2009, ibm1, , , , 0.779
2009, ibm2, , , , 0.765
2009, pris1, , , , 0.460
2009, pris2, , , , 0.462
2009, QUANTA, , , , 0.748
2009, SIEL_09, , , , 0.682
2009, Stanford_UBC1, , , , 0.355
2009, Stanford_UBC2, , , , 0.373
2009, TCAR_r6a1, , , , 0.216
2009, TCAR_r6a2, , , , 0.587
2009, u3cm1, , , , 0.324
2009, u3cm2, , , , 0.368
2009, u3cm3, , , , 0.159
2009, median, , , , 0.461

2010, cortex, , , , 0.65
2010, iirg, , , , 0.29
2010, CUNY, , , , 0.29
2010, ibm, , , , 0.28
2010, lcc, , , , 0.28
2010, nyu, , , , 0.27
2010, buptpris, , , , 0.15
2010, icl_kbp, , , , 0.15
2010, lsv, , , , 0.15
2010, Stanford, , , , 0.13
