system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto
SF_CIS3	0.2936267071320182	0.2986111111111111	0.29609793420045905	0.25968989568184575	0.2991320212373124	0.2513245744584139	0.22003034901365706	0.22709475332811277	0.22350674373795762	0.2066402333852605	0.24307319338985905	0.2039833165800864	0.036418816388467376	0.038929440389294405	0.03763230105840847	0.030961203651421017	0.041590464688290786	0.032005390815038795
KB_hltcoe3	0.5051851851851852	0.2631172839506173	0.3460172501268392	0.25612360495883546	0.2416786894816598	0.23206694544544934	0.49777777777777776	0.25925925925925924	0.34094368340943687	0.24949310465744917	0.23534957555760924	0.22560866593111165	0.13185185185185186	0.06931464174454828	0.09086268504338947	0.05650137090675329	0.05659631673686722	0.05102734290981367
SF_UMass_IESL4	0.3040103492884864	0.18132716049382716	0.22716288061865633	0.20238803792149174	0.19975973179299816	0.17587954317146992	0.2729624838292367	0.16306027820710975	0.20416061925495887	0.1854264883197977	0.1810636448781046	0.1596704068409438	0.054333764553686936	0.03304484657749803	0.0410958904109589	0.0358749085155619	0.037842354389344066	0.03046654404837226
SF_MSIIPL_THU4	0.04119850187265917	0.008487654320987654	0.014075495841330771	0.011452682338758298	0.009330061138379399	0.00927408938258848	0.003745318352059925	0.0007716049382716049	0.0012795905310300701	0.000602772754671489	0.000602772754671489	0.000602772754671489	0.0	0.0	0.0	0.0	0.0	0.0
KB_hltcoe2	0.474034620505992	0.27469135802469136	0.34782608695652173	0.24127538394914122	0.23121118297488802	0.22083417234840252	0.4647137150466045	0.2692901234567901	0.34098680996580355	0.2340421108930829	0.22512591802886361	0.21444262838904632	0.11451398135818908	0.06697819314641744	0.0845208845208845	0.059639104891374944	0.060348778852593016	0.05544607293513913
SF_UWashington3	0.5224719101123596	0.07175925925925926	0.12618724559023065	0.06224881206798027	0.05091778429014387	0.0525502300289516	0.4943820224719101	0.06790123456790123	0.11940298507462686	0.058769169347831204	0.049480880414669665	0.050541177459519936	0.033707865168539325	0.00468384074941452	0.00822481151473612	0.0036166365280289343	0.0028464866959442	0.002997352414407713
KB_UMass_IESL1	0.2722007722007722	0.2175925925925926	0.24185248713550603	0.1963309244615756	0.19559304107291042	0.17573077313358645	0.27123552123552125	0.21682098765432098	0.24099485420240138	0.19613000021001836	0.19544234788424236	0.1755585523465375	0.029922779922779922	0.024390243902439025	0.02687472908539228	0.019585693848398002	0.018393750834767162	0.015665372598170666
KB_hltcoe1	0.4992412746585736	0.25385802469135804	0.33657289002557544	0.23619811654329242	0.22312972789472363	0.21277652014548593	0.496206373292868	0.2523148148148148	0.3345268542199489	0.23561041310748765	0.22270700414469422	0.2122847844772013	0.12898330804248861	0.06619937694704049	0.08749356664951105	0.05416764877194616	0.05391808779281547	0.048710866622303
SF_CMUML1	0.5714285714285714	0.009259259259259259	0.018223234624145785	0.01808318264014466	0.00788497217068646	0.009886687553956976	0.5714285714285714	0.009259259259259259	0.018223234624145785	0.01808318264014466	0.00788497217068646	0.009886687553956976	0.14285714285714285	0.00231839258114374	0.004562737642585551	0.003616636528028933	0.00111943511581848	0.001707856138235885
SF_Stanford3	0.38675388389206866	0.36496913580246915	0.37554585152838427	0.3085967492743229	0.3193967057634276	0.29178761752413424	0.31888798037612426	0.30092592592592593	0.3096466851925367	0.24279462784835945	0.25801939839528265	0.22991682356900592	0.20703764320785598	0.19921259842519684	0.20304975922953453	0.16320297027533867	0.16974087200785354	0.1541410219661239
KB_UMass_IESL3	0.25222222222222224	0.17515432098765432	0.20673952641165755	0.18002510851742334	0.17908659399258808	0.159149136914366	0.25222222222222224	0.17515432098765432	0.20673952641165755	0.18002510851742334	0.17908659399258808	0.159149136914366	0.03111111111111111	0.022029897718332022	0.025794564716720408	0.017607383793862907	0.017756381549484987	0.015020997815864792
SF_UTAustin1	0.5421412300683371	0.18364197530864199	0.2743515850144092	0.2193138436809323	0.16935859838221154	0.17519672445757528	0.5421412300683371	0.18364197530864199	0.2743515850144092	0.2193138436809323	0.16935859838221154	0.17519672445757528	0.5421412300683371	0.18364197530864199	0.2743515850144092	0.2193138436809323	0.16935859838221154	0.17519672445757528
KB_NYU4	0.4219219219219219	0.21682098765432098	0.2864424057084607	0.2070388289274577	0.19522490349208108	0.1794781195988744	0.4219219219219219	0.21682098765432098	0.2864424057084607	0.2070388289274577	0.19522490349208108	0.1794781195988744	0.04954954954954955	0.02576112412177986	0.03389830508474576	0.029316686398379838	0.025206371386299026	0.025020452723888528
SF_BUPT_PRIS5	0.1527638190954774	0.11728395061728394	0.1326931470973374	0.11207698269181096	0.13786010320991907	0.10789304697349063	0.15175879396984926	0.11651234567901235	0.13182016586643386	0.11162490312580739	0.1360517849459046	0.10716971966788491	0.002012072434607646	0.001589825119236884	0.0017761989342806397	0.0006222452683432715	0.002117362371445855	0.000884173297966401
SF_CIS1	0.5	0.13271604938271606	0.2097560975609756	0.19862206810669727	0.16484570853758884	0.16176583111483636	0.5	0.13271604938271606	0.2097560975609756	0.19862206810669727	0.16484570853758884	0.16176583111483636	0.06395348837209303	0.017842660178426603	0.02790107799619531	0.02335662525879919	0.017089371980676338	0.017130690364386022
KB_ICTCAS_OKN3	0.45454545454545453	0.019290123456790122	0.037009622501850484	0.03398131404460522	0.02079312010674297	0.020758787124067438	0.2545454545454545	0.010802469135802469	0.02072538860103627	0.02019288728149488	0.010927408938258859	0.012391064832294478	0.01818181818181818	0.0007716049382716049	0.0014803849000740192	0.0018083182640144667	0.0006027727546714905	0.0009041591320072334
SF_UMass_IESL1	0.2855691056910569	0.21682098765432098	0.24649122807017546	0.20079757980912122	0.20806710316147992	0.18168158248164037	0.28353658536585363	0.2152777777777778	0.24473684210526314	0.20017758497574475	0.20710266675400574	0.1809281165383009	0.041666666666666664	0.03225806451612903	0.03636363636363637	0.02703210532157901	0.0326129800129642	0.027111928965559404
KB_UMass_IESL4	0.2667398463227223	0.1875	0.22020842772995017	0.18044895623471888	0.18403054318714876	0.16268762121209362	0.2667398463227223	0.1875	0.22020842772995017	0.18044895623471888	0.18403054318714876	0.16268762121209362	0.03732162458836443	0.02675059008654603	0.031164069660861594	0.016204774914119938	0.01706004219615835	0.013795878781448351
