system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto
SF_UWashington1	0.4819277108433735	0.15432098765432098	0.23378141437755698	0.151425265900562	0.133344228872875	0.13094255388759252	0.4819277108433735	0.15432098765432098	0.23378141437755698	0.151425265900562	0.133344228872875	0.13094255388759252	0.6923076923076923	0.04918032786885246	0.09183673469387753	0.0795660036166366	0.050433197754626354	0.05286480116817313
SF_Stanford1	0.5286532951289399	0.2847222222222222	0.37011033099297896	0.28444069607724526	0.2624894214428361	0.2491095889367223	0.5344070278184481	0.2816358024691358	0.3688731682668014	0.2838184836852393	0.2586467451318053	0.24712322667724126	0.5572033898305084	0.20708661417322835	0.3019517795637198	0.2387961525189785	0.19074379722273543	0.19599718603072566
KB_hltcoe3	0.5051851851851852	0.2631172839506173	0.3460172501268392	0.256123604958835	0.2416786894816597	0.2320669454454492	0.5217391304347826	0.25925925925925924	0.3463917525773196	0.2547389889720492	0.2353495755576091	0.22812400732418214	0.717741935483871	0.06931464174454828	0.12642045454545453	0.10675105485232063	0.056596316736867214	0.06700817501994512
KB_BBN1	0.47605893186003684	0.39891975308641975	0.4340890008396306	0.33388403802536576	0.32779298182376754	0.3044449157751999	0.47605893186003684	0.39891975308641975	0.4340890008396306	0.33388403802536576	0.32779298182376754	0.3044449157751999	0.7159090909090909	0.10361842105263158	0.1810344827586207	0.1537974683544302	0.09044179850689804	0.10096963916132089
SF_IITD_20151	0.5402298850574713	0.036265432098765434	0.06796818510484454	0.058847842934642194	0.05046519183047213	0.04995694480323772	0.6842105263157895	0.010046367851622875	0.019801980198019806	0.016726943942133803	0.01267192722888925	0.013388510223953253	0.6842105263157895	0.010046367851622875	0.019801980198019806	0.016726943942133803	0.01267192722888925	0.013388510223953253
SF_CMUML1	0.5714285714285714	0.009259259259259259	0.018223234624145785	0.018083182640144687	0.007884972170686457	0.009886687553956998	0.631578947368421	0.009259259259259259	0.018250950570342202	0.018987341772151906	0.007884972170686457	0.010007242104891304	1.0	0.00231839258114374	0.004626060138781804	0.003616636528028932	0.0011194351158184794	0.0017078561382358837
SF_UWashington4	0.4391891891891892	0.05015432098765432	0.09002770083102493	0.05272754671488851	0.043320051162302	0.044987655808475066	0.4065040650406504	0.038580246913580245	0.07047216349541931	0.038744238534854356	0.031076107820603095	0.03208604867540319	1.0	0.01092896174863388	0.021621621621621623	0.01808318264014467	0.010143224767998725	0.011514732475268597
SF_CIS2	0.2979094076655052	0.2638888888888889	0.27986906710310966	0.24807210158983925	0.28275717665830186	0.2378298659339708	0.2992125984251969	0.2638888888888889	0.28044280442804426	0.24826845938113426	0.28275717665830186	0.23801375122302412	0.6923076923076923	0.0364963503649635	0.06933744221879815	0.06853864734299524	0.04294916034046465	0.04601574954835826
SF_MSIIPL_THU1	0.25806451612903225	0.1111111111111111	0.1553398058252427	0.10511200644431147	0.11518628872388824	0.09650892037704188	0.27104722792607805	0.10200927357032458	0.14823133071308253	0.10618416142828437	0.11101565644699346	0.09538168549549829	0.5803571428571429	0.0504266873545384	0.092790863668808	0.07587012987012985	0.05646232555323464	0.05720805397810745
KB_BBN5	0.4751434034416826	0.38348765432098764	0.42442356959863364	0.31376599897367624	0.3016625743279614	0.2839339976780099	0.511520737327189	0.3439194422927963	0.4113015284854099	0.29881036075827777	0.271326589723149	0.26237157078372064	0.712707182320442	0.10608552631578948	0.18468146027201146	0.1585593731163353	0.0930541223895653	0.10448644895607427
