HITId	HITTypeId	docId
3Z33IC0JC0G300O7UXMVJSCI6R19VW	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001437_20150426_F0010006R.json
3L1EFR8WWTZE432HUIHR169WIXDF9E	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001437_20150627_F0010006S.json
3J9L0X0VDFGGFPOCK7RR5UVWD039W6	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001438_20150710_F0010006T.json
31ANT7FQN8WFHCRBMISASBG7CG7H5N	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001439_20150622_F0010006U.json
3WKGUBL7SZGZ7P61ZYOYFB30T1L4LC	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001440_20150709_F0010006V.json
3S1L4CQSFXZS9MCMMOVRX1KGOFVFAT	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001441_20150428_F0010006W.json
3FULMHZ7OURJD7OMZAPDFOIPT6B4ME	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001462_20150618_F0010006X.json
3PR3LXCWSFTV4PT2UCND7D93M299XZ	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001463_20150413_F0010006Z.json
3GVPRXWRPHOU0BGEGTPSQ7VI3ZH7IL	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001463_20150720_F0010006Y.json
3VGZ74AYTGAMG15FHMX0LHAGPXGCGR	3JHTEM36TJ004GXUE0X8PANNDRJW9Y	exhaustive/ENG_NW_001464_20150623_F00100070.json
