HITId	HITTypeId	docId
3KTCJ4SCVGV2L8R3CS6A3UDO25VM1Y	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001427_20150718_F0010006F.json
36D1BWBEHNV9AT9ZVW6O8DNTUB9M2F	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001428_20150527_F0010006G.json
3Q2T3FD0ON2YVB5IZWKTRNSL0P9M3Q	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001429_20150622_F0010006H.json
3YGE63DIN8RYJV0ZKB8XYNW5VF3W0W	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001430_20150426_F0010006I.json
3HUR21WDDUJA5Q1A2OFSSY4WGUOYXS	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001431_20150426_F0010006J.json
36GJS3V78VK9OFBLREELUPPD00JGJO	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001432_20150622_F0010006L.json
3FULMHZ7OURJD7OMZAPC1SKREP5M4B	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001432_20150627_F0010006K.json
3X2YVV51PUYYQKLHGUCXCSFF079W1Z	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001433_20150716_F0010006M.json
308KJXFUJR02SRUNH80F091J07XTAU	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001435_20150718_F0010006O.json
3ZZAYRN1I6LRUVOORR5X14LOPO1OTO	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001436_20140731_F0010006P.json
30F94FBDNRE7B1ZFNM0BVKLPIPITBP	3P7L6K2EZ9V9KGI454ASYN2K7P8N4N	exhaustive/ENG_NW_001436_20150718_F0010006Q.json
