HITId	HITTypeId	docId
33QQ60S6ASCLRRBUPBTXUV96PG70UV	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001427_20150718_F0010006F.json
38F60IALAGB6REW5P63NPZN462ZT0W	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001428_20150527_F0010006G.json
3OCZWXS7ZO1H38A1D378K39ETXP5LR	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001429_20150622_F0010006H.json
3EAWOID6MTRL460UU132QHBP3NG0VK	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001430_20150426_F0010006I.json
3YGE63DIN8RYJV0ZKB8YCJU3AWI0WU	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001431_20150426_F0010006J.json
3E9VAUV7BW8Y9DTHRENFMMRWUQTYAH	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001432_20150622_F0010006L.json
3EGKVCRQFWM3SNY9XSNBHXB2C8EYBC	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001432_20150627_F0010006K.json
3P7QK0GJ3TF9908IALWJUBH0OW62Z6	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001433_20150716_F0010006M.json
3L55D8AUFARM2SQFBSJ6SHHKUTEYCJ	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001435_20150718_F0010006O.json
37M4O367VJC19QSMDF8NKGO3T2F5MT	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001436_20140731_F0010006P.json
3HRWUH63QUW7R8DMPGNNXVD3YSP5NT	37V5OWJ68XKIQTYYDNV28HV46CYLVA	exhaustive/ENG_NW_001436_20150718_F0010006Q.json
