HITId	HITTypeId	docId
3FVBZG9CLJ8GM55APCMXXKMIGVA0HS	31S093JAJ8668GTG8HXS2ZQLSF5WRF	exhaustive-2016/ENG_NW_001278_20130106_F00011MEM.json
3ZG552ORAMYS0G389O7FV966L852V4	359956SLTZSQXMHH43QQTO95U81LRB	exhaustive-2016/ENG_NW_001278_20130111_F00013FIO.json
3NSCTNUR2ZH07PJXGCIHXTV5K8V5A7	3EKS5N8MHUAX9CV2THNQNBJCMLQIZN	exhaustive-2016/ENG_NW_001278_20130122_F000138QU.json
3BDORL6HKK7D5RETXXRB6PQPCT5CRU	3NZ7FAG0N0KPQYI66CDAW8KO8ZLZPG	exhaustive-2016/ENG_NW_001278_20130131_F00012YN5.json
3L55D8AUFARM2SQFBSJ5ELJMFGJYCH	395K4VYE02IJ9EGCKS7L14MCCVO56A	exhaustive-2016/ENG_NW_001278_20130209_F00012793.json
324N5FAHSX5NHW7YYUDJV5S028QVKI	33KTOXRB2MP4XU7LISNSYB4LXCFRFC	exhaustive-2016/ENG_NW_001278_20130215_F000127AV.json
3JMNNNO3B1Y5F53DZYCBHBPKSH72WE	3554GQY3BKS2Y1HUJSQVJYE1GAKLSZ	exhaustive-2016/ENG_NW_001278_20130215_F00012E5C.json
3NZ1E5QA6ZV5QZOPMQIDS4FB2QG5B2	3JH21YRKZ76W229I75VYTDVQHTWJ08	exhaustive-2016/ENG_NW_001278_20130216_F00011Q88.json
3S1L4CQSFXZS9MCMMOVQJ5MI929AFV	3TNRXJHW8L3GQY6QC0IQPXBAO782CY	exhaustive-2016/ENG_NW_001278_20130221_F00012L0H.json
3OKP4QVBP2RYNM8HX8181QMUAH9AGU	3I89T2LWMQMQVQC4CWD193TS97K2DY	exhaustive-2016/ENG_NW_001278_20130306_F000127H7.json
3P458N04Q1BK4583938XJU3R1JD2X7	310F0WGLWK43D1U98SVLT3ANITYLTO	exhaustive-2016/ENG_NW_001278_20130307_F000135R4.json
3AXFSPQOYQS3AFFQGU83C4P1ZP3FJG	3O6P9CW6LXCCG37JRBXLKTRLULCOK2	exhaustive-2016/ENG_NW_001278_20130310_F00012443.json
3JVP4ZJHDPMGI0GUVU4IXWNXG8P0IL	31OVKNPS1T6I9VTTN6XXS9VHEHOWS3	exhaustive-2016/ENG_NW_001278_20130315_F00011XDT.json
3EQVJH0T40FH2E21NEA7HVOND67HTL	3S76BV53LKE2DEUH32CD7IM8768579	exhaustive-2016/ENG_NW_001278_20130316_F000120RE.json
3O2Y2UIUCQOYLZL8YF8FDJPEEE3FKF	3TPZE42KLT7N09P1CB9MZT40JLHOL5	exhaustive-2016/ENG_NW_001278_20130316_F00012OME.json
3J9UN9O9J3MCDB00DCPI9X2XTNE0JX	3XJ64T7AMTIJOV68C62N2ER3G02WTS	exhaustive-2016/ENG_NW_001278_20130316_F00013CPM.json
37MQ8Z1JQEQ94AYDEZUZ28A03P72YD	3WBZ6EY6WW5IDE9Y8XLVYZWP175LUF	exhaustive-2016/ENG_NW_001278_20130321_F00011XFZ.json
39O0SQZVJN17TAJX6GJ0Q3YBBIE7RW	32KI9HN0SI35N75UFN3CEKNB310U1I	exhaustive-2016/ENG_NW_001278_20130322_F00012Z2T.json
3P7QK0GJ3TF9908IALWIGFJ29JB2Z4	37V5OWJ68XKIQTYYDNV0ULY8FEELV4	exhaustive-2016/ENG_NW_001278_20130323_F00012Z37.json
3UOMW19E6D0O04GV0QE83OLTKBG5C9	3I3MQQJ31TDW9RU03OZY7IE0ML2J1B	exhaustive-2016/ENG_NW_001278_20130324_F00012OP5.json
