HITId	HITTypeId	docId
3S37Y8CWI8UFIJI03CV0OMKGRDW4WM	3RSP1MSSW0A7T8RGNX9WXVG635OUKV	exhaustive-2016/ENG_NW_001278_20130103_F00012DPQ.json
3YLPJ8OXX87U7JNQDHRMQ5YN0F24XF	3WBZ6EY6WW5IDE9Y8XLXCVTLS5TULY	exhaustive-2016/ENG_NW_001278_20130106_F00011MEM.json
32LAQ1JNT9JM708LNDH7E6BBMW1UT8	3DOL9V5RNSNZKNFUH54YNT7DEOAP28	exhaustive-2016/ENG_NW_001278_20130111_F00012KLC.json
3QD8LUVX4XSC32RQRMAWVX410BWX5C	3NQ8A4S0YDUKE7UBNM1BY5NHML106U	exhaustive-2016/ENG_NW_001278_20130111_F00012O01.json
3UEDKCTP9VKL6662GWA43NAVV8D7KD	3O471962EP3CCSNQYR3SXZUCM532UI	exhaustive-2016/ENG_NW_001278_20130111_F00013583.json
3G3AJKPCXLMJ7OD0IDDO9J5W2LW4YL	3FL4YKC6SRG2JWRJ89MCC88ASAJUM0	exhaustive-2016/ENG_NW_001278_20130111_F00013FIO.json
3YOAVL4CA0BJCEN5EZF7NQEY8F04ZC	3PQW4YC2N2081ECJKA1CPNXAX0TUN0	exhaustive-2016/ENG_NW_001278_20130112_F000131RT.json
3VZYA8PITOS46CLFOALPMJHQQ4C50Q	3UI2IY8XYM6QJZCVLP1P4CXFNAYUOF	exhaustive-2016/ENG_NW_001278_20130112_F0001358P.json
3ZXNP4Z39RFWQCOK1WM5INNAK8I7LG	3ZODJRR2QQICP7CQ3HDXTLWV0CC2V7	exhaustive-2016/ENG_NW_001278_20130115_F00013C4O.json
3XWUWJ18TLK17DNANI7HJ2XD5A8UUZ	3XDD1E7DUSUO55BDL5I363C5K2AP3J	exhaustive-2016/ENG_NW_001278_20130116_F00013IYT.json
38G0E1M85MZ1KSCAS8HMFOZWJHHUVO	3M55KGTKUZJ9N1UHLJNMG84BY26P44	exhaustive-2016/ENG_NW_001278_20130119_F00011J4W.json
3R868ACW4S6ZOUGP90H8WFB1YK8ZGT	3SGAN4GQ96FRW6F10LYWDPKKDE8XDD	exhaustive-2016/ENG_NW_001278_20130119_F000138PJ.json
3SMIWMMK61ZEZHCFIIMI1QIAQQJUWY	3EXOM20K1O4RJKYHZO6WL0APYY1P59	exhaustive-2016/ENG_NW_001278_20130123_F00011PZJ.json
3TC2K6WK9GWUP47V1VW6HRKWPSX289	3BRS3IGD6GQEGZPMDCSJTBGIFJBRTU	exhaustive-2016/ENG_NW_001278_20130124_F000131WH.json
3IWA71V4TIA8M6R4W5K1N3I1W67X6S	3DOL9V5RNSNZKNFUH54YNT7DEOAP28	exhaustive-2016/ENG_NW_001278_20130129_F00011WY4.json
3I7SHAD35MQGWU6518NKI02ZKD87MI	3JUV1CRER5IP4WCVTRITFNF97LE2WH	exhaustive-2016/ENG_NW_001278_20130129_F000135E6.json
3Y40HMYLL1CTOHH5SNI439WHZSPUXR	36GQ890RQ9MN2OYV47G1D6OPUTCP6P	exhaustive-2016/ENG_NW_001278_20130201_F00013FQA.json
3SCKNODZ0XAMECR5D92KVFRZP3I7NI	3PCDMC3F65V4TWHL3WEFH6TGGNK2XA	exhaustive-2016/ENG_NW_001278_20130203_F00011Q3M.json
3FJ2RVH25Z0U39Q56N2KHNF79YF29Y	362C90YY6SRTGC4BDHITY72KYXIRUL	exhaustive-2016/ENG_NW_001278_20130216_F00011TO3.json
3AC6MFV69KCDOQB0T6ZQHFN2DKLZHS	3DY668G4EPPWOCT1WG9GJ725DQ9XE6	exhaustive-2016/ENG_NW_001278_20130219_F00011JF0.json
31YWE12TE06RQ659FFPTTHIXRHRX7R	36SUH4ZPJVQ3I78G6W634JNDHWL07T	exhaustive-2016/ENG_NW_001278_20130220_F00011JF2.json
3X4Q1O9UBHG4WXRHEO2XA4R4FDN7OX	37UYMO4U6IATT17V8S0H0K0PITE2YG	exhaustive-2016/ENG_NW_001278_20130220_F00012HJO.json
3MJ9GGZYO3088S0AYTGKDIQRFGX2AD	3HMIRIJYIT6TTRTBI7SYUT43C4RRVA	exhaustive-2016/ENG_NW_001278_20130222_F00011X6C.json
33K3E8REWWPVQKASPKHZ7HES21XX8E	38E1HBOA1R97ILDZG1Y9IJJ8SGR08G	exhaustive-2016/ENG_NW_001278_20130225_F00012HLG.json
3PA41K45VNYMHX3ITOFCZ4WUPIJ7PE	3PFYYPJUJXZTYRH04E20ER9RONI2Z7	exhaustive-2016/ENG_NW_001278_20130227_F00012VEH.json
3ULIZ0H1VAZ4D16XKTPP0O00VWI51T	3MOGIU38ISO84ZOW0PE4TC25XFUUPW	exhaustive-2016/ENG_NW_001278_20130228_F00012ATF.json
3PR3LXCWSFTV4PT2UCND7D93M7FX93	3UL1O09SXAD7WQW9LT4NIFEJCM9095	exhaustive-2016/ENG_NW_001278_20130302_F00011X8Y.json
3G57RS03HHZB2MOT3XP357A5N2W52A	3S2GEPESOA6T4BPB02TTTHSF2BGUQN	exhaustive-2016/ENG_NW_001278_20130305_F0001329Z.json
3MQY1YVHS3EDR25247GG8TAXXYI2B8	31S093JAJ8668GTG8HXUGVNHJDTRWK	exhaustive-2016/ENG_NW_001278_20130307_F00011XAM.json
3VO4XFFP15G7H94XT1U1Z9M4UE57Q5	3ENV39ZM2W2LHO7T4K3DR2BXCUZ30R	exhaustive-2016/ENG_NW_001278_20130307_F000135R4.json
