HITId	HITTypeId	docId
37VUR2VJ6AJPCMFCZ3CXEU6AND41CX	3QY2P19FFIS0II6EPFCZ9UWERIAXNV	exhaustive/ENG_NW_001417_20150709_F00100064.json
31GECDVA9JGV3R78VIBBNQ5HZ29668	32TI4QMY9D36WRH3H6NOYM32MIFUT1	exhaustive/ENG_NW_001418_20150428_F00100065.json
3PKVGQTFIHEQ8UFYTP91HCG6UZFYRX	31SXY3N7KERQKJB6JDIJ9L990MC0BF	exhaustive/ENG_NW_001418_20150709_F00100066.json
3KI0JD2ZU1CE7RLDESG3T45DUDT677	3X42A84J9P4LW4WSHBDY3IP45WMUUS	exhaustive/ENG_NW_001420_20150714_F00100068.json
3M67TQBQQHIJ8CL9J2VZN5Y5LM79AC	3D92QE1HWKN3ZDCWZOGSKHHFVSB38E	exhaustive/ENG_NW_001421_20150804_F00100069.json
3PGQRAZX02E299FB8E967ML2G1YYSL	38HIGZ6BKSW9UO3CXDEEK5FRI7C0CM	exhaustive/ENG_NW_001422_20150628_F0010006A.json
3M47JKRKCXVI75QWOX8974185XZ68U	38O8SQPJLQJL9JLSM1N3Z4RNJ3VUVH	exhaustive/ENG_NW_001423_20150107_F0010006B.json
3WGCNLZJKF2ZHELQZZ78Y0OS8DG1DX	3VQ8315AQ2YI036QQUCCOJWJHSFXOA	exhaustive/ENG_NW_001424_20150208_F0010006C.json
38B7Q9C28GZILA96TPEN70WJP3H69J	3SUQABPVM5JYO8LXCBSZL6A1QCXUWR	exhaustive/ENG_NW_001425_20150606_F0010006D.json
3MDWE879UHWORMQ1PGVVIGIB34S9B7	3ZG2X3MZS3R3DIV64GM6KDCQFYT393	exhaustive/ENG_NW_001426_20150624_F0010006E.json
