HITId	HITTypeId	docId
3OYHVNTV5TSSRCY1XIR50DYS6FYKOA	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130422.0184-276-286-311-326.json
3909MD9T2ZBVZZTY2TXCFOC9UHBFEZ	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130423.0236-2367-2379-2408-2417.json
3SCKNODZ0XAMECR5D92JHJT1ALTN7S	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130425.0014-7508-7520-7478-7494.json
3G4VVJO6PZAACCA2CI4KPD3IGKUKPR	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130425.0014-7649-7669-7927-7936.json
3RWSQDNYL9GN5DTUX4HIX6X96IQFFH	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130426.0255-991-994-943-952.json
3VEI3XUCZRRWZGNX22DHQPPWBCOPRP	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130428.0127-1682-1699-1701-1706.json
3SBNLSTU6UZWCA6Y7AGZCYA66A4ZDE	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130429.0175-2437-2447-2421-2436.json
3MIVREZQVHSVCOBHCVJ9PITSLGGKQI	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130502.0191-501-515-365-371.json
3VADEH0UHCR80VNAHRDMGZUSXE7PSD	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130504.0005-3403-3422-3428-3446.json
3O71U79SRBJ2FSQXPBLUZV0XS9WSMK	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130505.0037-6871-6885-6863-6866.json
3SR6AEG6W5NDJ01VXKX6PCG2S8THYE	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130508.0060-1447-1449-1484-1502.json
3RKHNXPHGWQN4HIYT43EZJQHO1MUKX	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130508.0060-1680-1683-1671-1678.json
3YCT0L9OMM38XABX1C0UCAPXXZ6SNK	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130508.0173-172-184-186-195.json
3DTJ4WT8BD914GKY35RJIGSR6M5ZE7	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130514.0085-6358-6374-6293-6304.json
3R5OYNIC2C39FV0P6RICQ4QEZXLPT2	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130523.0084-2134-2143-2232-2235.json
3W3RSPVVGSLYON0GE4FFEJ3WD1RUL0	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130523.0138-1095-1122-1172-1179.json
334ZEL5JX69QFVB92R07RZP2N9BSOZ	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130523.0138-1095-1122-1226-1240.json
3NFWQRSHVE8TJDPP8ON0FRXL7XQFGG	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130523.0138-1140-1152-1095-1122.json
3UYRNV2KITTQEQWONEUPVJPWL5ZN8F	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130529.0090-2228-2246-2117-2125.json
3VP28W7DUNETAUKUYGBP0YDRINKZFP	3H5KS3F36Q7JZCA7XZ9T9ZD0C4OZYA	pooled-eval/NYT_ENG_20130529.0090-2261-2269-2277-2280.json
