HITId	HITTypeId	docId
33P2GD6NRNMIZVCET5WGU0ZP9BAHKQ	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130422.0184-276-286-311-326.json
3EN4YVUOUCMKA16BGOEQW7N6ICTJXM	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130423.0236-2367-2379-2408-2417.json
3M7OI89LVYIKJ8G959OE9QXRVOLC67	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130425.0014-7508-7520-7478-7494.json
3909MD9T2ZBVZZTY2TXDTKA79Z1EF5	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130425.0014-7649-7669-7927-7936.json
3I7SHAD35MQGWU6518NKI02ZKD9M7Y	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130426.0255-991-994-943-952.json
359AP8GAGGE3N8UEOJT6F4XNQZ5C76	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130428.0127-1682-1699-1701-1706.json
3W5PY7V3UP19A6WLLK0SFLUFKINJYS	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130429.0175-2437-2447-2421-2436.json
37VHPF5VYCX7NMZXYOLCT4TI1JBC8T	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130502.0191-501-515-365-371.json
3T2HW4QDUV171RI73GRQT0OTLPTC9I	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130504.0005-3403-3422-3428-3446.json
3ZQX1VYFTDZ8WBW0OTU3O4NZQXUO82	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130505.0037-6871-6885-6863-6866.json
35JDMRECC431DZPTDD3VB5AJAE1EG4	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130508.0060-1447-1449-1484-1502.json
3KTZHH2ONI9KW8BOBDFQW0YUVXFM8L	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130508.0060-1680-1683-1671-1678.json
302OLP89DZ1L6ASCVM5QPVZDR7BCAX	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130508.0173-172-184-186-195.json
309D674SHZFQPKX4105MK6JJ9PWCBS	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130514.0085-6358-6374-6293-6304.json
360ZO6N6J1DKADUYG5L4WWT5F3XM9A	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130523.0084-2134-2143-2232-2235.json
3D06DR5225DYFW438BZ4SR4PLLFMAP	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130523.0138-1095-1122-1172-1179.json
388CL5C1RJHTJ1UWE58H90C4YBFHLT	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130523.0138-1095-1122-1226-1240.json
3EQPA8A374Q9FW6QH62BTS3HQCRJZJ	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130523.0138-1140-1152-1095-1122.json
3RIHDBQ1NESDPJCHEH9W9DRTYG5HMV	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130529.0090-2228-2246-2117-2125.json
31N9JPQXIPCJ71XHQIOWMSGT36FHNV	385XUCFVXXEMSLRD7VWLM0TTKQ7V4V	pooled-eval/NYT_ENG_20130529.0090-2261-2269-2277-2280.json
